# Résumé de capture réseau - trafic suspect signalé
# Timestamp | Source | Destination | Protocole | Info

10:42:01.223 | 192.168.1.14  | 8.8.8.8        | DNS   | Query: google.com
10:42:01.401 | 192.168.1.14  | 172.217.16.14  | TCP   | SYN
10:42:01.402 | 172.217.16.14 | 192.168.1.14   | TCP   | SYN-ACK
10:42:03.115 | 192.168.1.22  | 192.168.1.1    | ARP   | Who has 192.168.1.1?
10:42:05.887 | 192.168.1.14  | 93.184.216.34  | HTTP  | GET /index.html
10:42:07.204 | 192.168.1.30  | 192.168.1.1    | DHCP  | Request
10:42:09.556 | 192.168.1.14  | 40.90.4.1      | TLS   | Client Hello
10:42:11.678 | 192.168.1.22  | 185.199.108.1  | HTTP  | GET /style.css
10:42:14.902 | 192.168.1.45  | 192.168.1.14   | TCP   | SYN
10:42:15.003 | 192.168.1.45  | 192.168.1.14   | HTTP  | POST /login - payload: user=admin&pass=admin123
10:42:18.221 | 192.168.1.14  | 192.168.1.45   | HTTP  | 401 Unauthorized
10:42:20.445 | 192.168.1.45  | 192.168.1.14   | HTTP  | POST /login - payload: user=admin&pass=CTF{packet_sniffing_101}
10:42:22.109 | 192.168.1.14  | 192.168.1.45   | HTTP  | 200 OK
10:42:24.663 | 192.168.1.22  | 8.8.4.4        | DNS   | Query: cdn.example.com
10:42:27.888 | 192.168.1.14  | 172.217.16.14  | TCP   | FIN
10:42:30.112 | 192.168.1.30  | 192.168.1.1    | DHCP  | ACK
10:42:33.556 | 192.168.1.22  | 192.168.1.1    | ICMP  | Echo request
10:42:35.778 | 192.168.1.1   | 192.168.1.22   | ICMP  | Echo reply
10:42:38.901 | 192.168.1.14  | 93.184.216.34  | HTTP  | GET /favicon.ico
